item,name_en,name_de,description
HV11_140,Intangible assets,Immaterielle Anlagewerte,"Intangible assets are included as a component of HV11/176 (Others) in the BISTA guidelines. Item 176 includes: intangible assets such as purchased goodwill and as a general rule computer software; internally generated intangible fixed assets; internally generated industrial and similar rights and assets; purchased concessions, industrial and similar rights and assets, and licences in such rights and assets; and goodwill. Reported at cost less accumulated amortisation. These assets are not to be included under Item 140 (Tangible assets) or any other dedicated balance sheet item."
HV11_150,Property and equipment,Sachanlagen,"Tangible assets (Item 140): land and buildings and furniture and equipment provided that they constitute fixed assets. Intangible assets and current assets — e.g. real estate acquired as a safeguard against loan losses if held by the reporting institution for a period of not more than five years — are not to be shown here but under HV11/176 (Others). Includes real estate holdings (Item 141 of which: Immobilienbestände) — dwellings, other buildings and structures (both existing and under development) and land legally owned by reporting agents including real estate for own use."
HV11_160,Unpaid contributions to subscribed capital,Ausstehende Einlagen auf gezeichnetes Kapital,"Subscribed capital unpaid (Item 150): amounts which shareholders have subscribed to the capital of the reporting institution that have been called but not yet paid in cash. Recorded as an asset when the payment obligation is formally established. For the corresponding liability-side counterpart (gross subscribed capital) see HV21/311."
HV11_170,Other assets,Sonstige Vermoegensgegenstände,"Only those assets which cannot or cannot yet be assigned to another item are to be included (Item 170). Comprises: accrued interest on asset items calculated in connection with preparation of the annual accounts; commemorative coins bought above face value, gold coins (even if legal tender), gold bullion and delivery claims on precious metal accounts; participation rights not evidenced by securities and not repayable; options not evidenced by securities and resulting from option dealings (paid option prices) as well as cover and adjustment payments for open futures market positions (security deposits, initial margins and variation margins paid) — shown separately under HV12/177; working capital supplied to foreign branches — HV12/188; stock on hand of credit cooperatives trading in goods; land and buildings acquired as a safeguard against loan losses held for not more than five years; derivative financial instruments in the trading portfolio with positive fair values within the meaning of Section 340e(3) HGB — shown separately under HV12/186; currency conversion differential — HV12/187; prepaid expenses — HV12/184; advance tax payments — HV12/185; intangible assets (purchased goodwill and computer software as a general rule); and any other assets that cannot be assigned to another item."
HV11_175,Tax receivables,Steuererstattungsansprueche,"Tax refund claims (Item 185): as well as deferred tax assets pursuant to Section 274 of the German Commercial Code (Handelsgesetzbuch), this item should also be used to record other tax assets arising from prepayments in anticipation of the tax assessment date. Payments to the tax office that are recognised as an expense in profit or loss should continue to be reported in the balance of the expense and income accounts (HV11/175 and HV21/325 respectively) and not in this item."
HV11_176,Prepaid expenses and accrued income,Rechnungsabgrenzungsposten Aktiva,"Prepaid expenses unless recorded under HV11/173 (Item 184): expenditures paid before the reporting date but attributable to a future accounting period. Item 173 (Prepayments and accrued income for savings bonds and similar discount papers): any balancing items deriving from discounted savings bonds and similar discount paper issued are to be recorded here if they are shown at nominal value under liabilities; the amounts ascertained for the most recent annual accounts plus the balancing items formed since then for newly issued paper may be used; such paper at the issue amount plus accrued interest may also be used."
HV21_210,Liabilities to banks (MFIs),Verbindlichkeiten gegenueber Kreditinstituten,"All liabilities to domestic or foreign banks and central banks arising from banking transactions, other than securitised liabilities (HV21/230) or subordinated liabilities (HV21/280) (Item 210). Includes: liabilities from savings bonds (other than bearer paper) and similar registered savings bonds, other registered debt securities, income bonds, premium savings bonds, order debt securities not forming part of a total issue, and registered money market paper; credit balances on clearing accounts for banks; liabilities from genuine sale and repurchase transactions; liabilities to the Deutsche Bundesbank from open market loans and overnight loans taken up in the context of the marginal lending facility; liabilities to the ECB related to management of the ECB's capital and foreign reserves; syndicated loans raised — shown separately under HV22/211. Also includes, if not yet transmitted by the reporting date, interest and principal received from non-banks for administered loans. Banks with a building and loan division also record here liabilities to the legally dependent building and loan division."
HV21_220,Other liabilities to non-banks (non-MFIs),Andere Verbindlichkeiten gegenueber Kunden (Nicht-MFI),"All liabilities to domestic and foreign non-banks other than securitised liabilities (HV21/230) or subordinated liabilities (HV21/280) (Item 222). Includes: liabilities from genuine sale and repurchase transactions; order debt securities not forming part of a total issue; registered money market paper; savings bonds (other than bearer paper) and similar registered savings bonds; other registered debt securities; savings bank income bonds; premium savings bonds issued by credit cooperatives and similar registered income bonds; blocked balances and settlement balances of instalment sales financing firms; purchase coupons in circulation; credit card accounts showing a credit balance through payment or overpayment by the customer; liabilities incurred via another bank as fiduciary payments in favour of a specifically designated customer. Transmitted funds received directly from the non-bank in question → here; if received from an intermediary third bank → HV21/210. Syndicated loans taken out shown separately under HV22/223."
HV21_222,Savings deposits,Spareinlagen,"Only those funds without a specified maturity which satisfy the requirements of Section 21(4) of the German Regulation on the Accounting of Credit Institutions (RechKredV) are to be shown as savings deposits (Item 221). Section 39(6) of the RechKredV is to be applied. Also includes retirement provisions pursuant to the German Retirement Pension Act (Altersvermögensgesetz) and credited government allowances for these provisions. Amounts saved under premium saving schemes credited to a collective account and not earmarked for drawing may be shown as savings deposits if it has been agreed that the amounts saved will later be credited to a savings account."
HV21_230,Securitised liabilities,Verbriefte Verbindlichkeiten,"Both debt securities and debts for which non-registered transferable certificates have been issued are to be included irrespective of whether they are negotiable or not (Item 230). Subordinated securitised liabilities → HV21/280. Repurchased non-negotiable own debt securities deducted at the value at which they are carried on the liability side. Includes: debt securities in issue (Item 231) — bearer debt securities and order debt securities forming part of a total issue, irrespective of negotiability, including structured bonds, share certificates, index-linked bonds; money market paper in issue (Item 232) — only bearer or order paper forming part of a total issue with original maturity up to and including one year (commercial paper, Euronotes, certificates of deposit, bons de caisse); own acceptances and promissory notes outstanding (Item 233) — own acceptances in respect of which the institution is the first party liable and the supply of own acceptances under acceptance credits; and other securitised liabilities (Item 234) — warrants evidenced by securities not bearer debt securities under Section 793 German Civil Code."
HV21_240,Trust liabilities,Treuhandverbindlichkeiten,"Liabilities which the reporting institution has incurred in its own name but on behalf of third parties (Item 240). The amounts shown under HV21/240 and HV11/120 must tally. Includes: fiduciary loans (Item 241) — amounts shown under HV21/210 or HV21/222 relating to banks or non-banks respectively to be classified here by creditor; funds for fiduciary loans not yet transmitted by the reporting date → column 01 of Annex C1 under overnight money; securities issued on a fiduciary basis (Item 242) — debt securities issued in the bank's own name on behalf of third parties where the institution's liability to creditors is confined to due administration of proceeds and transfer of interest and redemption payments received; and other fiduciary liabilities (Item 243)."
HV21_250,Other liabilities,Sonstige Verbindlichkeiten,"Only those liabilities which cannot or cannot yet be assigned to another item are to be included (Item 320). For details see Items 321 to 326. Comprises: accrued interest on zero coupon bonds (Item 321); liability item from refinancing of lease receivables (Item 322); liabilities from transactions in goods and from trade credits obtained (Item 323); debit balance on items in the process of settlement (Item 324); debit balance on income and expenditure accounts (Item 325); and a broad residual catch-all (Item 326) including: undisclosed contingency reserves under Section 340f(1) HGB; accrued interest on liability items and on securities; amounts from traveller's cheques issued; option prices received and initial and variation margins received for outstanding financial futures contracts; accounting position credit balances on the Bundesbank giro account; amounts loaded onto prepaid cards; loaded network money amounts; liabilities not from core banking business (e.g. wage taxes, social security contributions, not yet paid dividends and profit shares); delivery obligations from precious metal accounts; deferred tax liabilities under Section 274 HGB; and derivative financial instruments in the trading portfolio with negative fair values — shown separately under HV22/505."
HV21_260,Deferred income,Rechnungsabgrenzungsposten Passiva,"Deferred income (Item 338): income received before the reporting date but attributable to a future accounting period, and other deferred income. Calculated and booked accrued interest on liabilities is shown under Item 336 (Aufgelaufene Zinsen auf Verbindlichkeiten); any negative interest is to be reported not here but under HV22/507. Calculated and booked accrued interest on securities stated on the liabilities side is shown under Item 337 (Aufgelaufene Zinsen auf Wertpapiere); any negative interest is to be reported not here but under HV22/508."
HV21_270,Provisions for liabilities and charges,Rueckstellungen,"Provisions for liabilities and charges (Item 260): includes provisions for contingent liabilities and for undrawn irrevocable credit commitments; value adjustments deriving from recourse claims arising from items HV21/341 to HV21/343; value adjustments deriving from non-capitalised assets sold with an option to repurchase in respect of which repurchase commitments have been shown under HV21/370. Notwithstanding Section 24 of the German Accounting Regulation for Credit Institutions, contingent liabilities arising from the endorsement of rediscounted bills (item HV21/341) should not be shown net of value adjustments. Bonus payments due on the expiry of current saving contracts should also be shown here even if premature withdrawal of amounts saved is not permitted under the terms of the contract."
HV21_280,Tax liabilities,Steuerverbindlichkeiten,"Current tax liabilities and deferred tax liabilities. Under the BISTA guidelines, deferred tax liabilities within the meaning of Section 274 of the German Commercial Code (Handelsgesetzbuch) are included in Item 326 (Others) as point 21. Current tax liabilities arising from corporate income tax (Körperschaftsteuer), solidarity surcharge and trade tax (Gewerbesteuer) are shown as provisions under Item 260 (Rückstellungen) sub-item b (Steuerrückstellungen). This item captures the combined tax liability position reported on the BISTA balance sheet form."
HV21_300,Subordinated liabilities,Nachrangige Verbindlichkeiten,"All liabilities — whether securitised or not — which in the event of winding-up or bankruptcy may be repaid only after the claims of all other creditors have been met (Item 280). Repurchased non-negotiable own subordinated paper is to be deducted at the value at which it is carried on the liability side. Liabilities deriving from drawn, called or matured but not yet paid subordinated own debt securities are still to be shown here. Includes: subordinated negotiable debt securities (Item 281); subordinated non-negotiable debt securities (Item 282); standardised small-denomination subordinated registered debt securities (Item 327) e.g. savings bonds (Vermögensbriefe) issued by the cooperative bank sector and savings bank bonds carrying such terms — amounts reported here are to be shown in Annex A2 column 7 or Annex C2 columns 01 to 03."
HV21_310,Participation rights capital,Genussrechtskapital,"Capital represented by participation rights or comparable capital in the nature of equity (Item 290): to be shown as soon as it has been received by the reporting institution and irrespective of whether the participation rights are evidenced by securities, take some other form, or take the shape of rights not evidenced by certificates. Capital not in the nature of equity → HV21/230 or HV21/210 or HV21/220, or if not evidenced by securities and not repayable → HV21/326. Liabilities deriving from drawn, called or matured but not yet paid own capital evidenced by certificates are still to be shown here. Repurchased own participation rights are to be deducted. Additional regulatory tier 1 instruments (Item 295 — Instrumente des zusätzlichen aufsichtsrechtlichen Kernkapitals) are also recorded here to the extent they predominantly have the attributes of participation rights rather than a subordinated liability."
HV21_320,Fund for general banking risks,Fonds fuer allgemeine Bankrisiken,"The Fund for general banking risks created pursuant to Section 340g of the German Commercial Code (Handelsgesetzbuch) is to be shown under this item (Item 300). The amounts earmarked in the fund pursuant to Section 340g HGB that are attributable to the special item pursuant to Section 340e(4) HGB are to be shown separately under Item 301. Other earmarked amounts (Item 302): amounts earmarked in the fund that may only be released for a specific pre-defined intended purpose are to be shown here."
HV21_325,Capital and reserves,Eigenkapital,"Capital items (Item 310) are to be shown according to the principle of reporting accounts as they stand irrespective of formal intermediate steps (preparation and adoption of annual financial statements). Any shortfall not covered by capital is also shown here preceded by a minus sign. Comprises: subscribed capital (Item 311) — all amounts deemed to be capital subscribed by shareholders including capital contributed by silent partners, endowment capital and amounts paid up on members' shares; domestic branches of foreign banks show working capital made available to them by their foreign head office and the operating surplus left to them; reserves (Item 312) — capital and revenue reserves including the reserve fund (Sicherheitsrücklagen) of savings banks and revenue reserves of credit cooperatives; net loss of the previous financial year and loss brought forward (Item 313); net profit of the previous financial year and profit brought forward (HV22/510); advance allocation to reserves from generated profits (HV22/509); and debit balance on income and expenditure accounts (Item 325 — Passivsaldo der Aufwands- und Ertragskonten)."
