"data_set","data_attribute","description"
"Counterparty reference data","Ultimate parent undertaking identifier","In line with the selection made in the type of ultimate parent undertaking identifier data attribute, the respective identifier should be specified here by the reporting institution. Note that the ultimate parent undertaking identifier and the respective counterparty reference data are reported irrespective of whether there is a business relationship between the observed agent and the ultimate parent undertaking. In the case of natural persons (for which the identifier type is “protected”; see “Type of ultimate parent undertaking identifier”), the value “Not applicable” is reported. Where a counterparty has an immediate parent undertaking over which no individual entity exercises direct or indirect control, the counterparty’s immediate parent undertaking identifier should also be reported as the ultimate parent undertaking identifier . A counterparty can also have an ultimate parent undertaking but not an immediate parent undertaking, e.g. if multiple minority shareholders in a counterparty are controlled by one and the same entity. In this case, the counterparty’s own counterparty identifier should be reported for the immediate parent undertaking identifier ."
"Counterparty reference data","Name","The full name is reported for all counterparties irrespective of their role and of their country of residency. The name is reported in accordance with the information contained in the relevant business register (Commercial Register ( Handelsregister ), Register of Associations ( Vereinsregister ), Register of Cooperative Societies ( Genossenschaftsregister ) or Register of Partnerships ( Partnerschaftsregister )), when applicable. Reference to individual accounts, such as by naming the settlement, netting, foreign currency, current, trustee or other internal account, is not permitted. No translation of the name from the original national language is required. For a legal entity (represented by the head office undertaking), the legal name in accordance with the relevant register entry is reported, when applicable. For financial sector counterparties in the reporting Member States without a register entry in their respective country of residency (such as investment funds or special funds of asset management companies) – where they exist – the name should be reported consistent with the respective entry in the ECB’s “Lists of financial institutions”. For all other counterparties, the name should – where it exists – be reported consistent with the entry in the GLEIF register."
"Counterparty reference data","Address: street","This is the name of the street (written out in full, if possible) and the civic number of the counterparty’s business address, e.g. according to the counterparty’s entry in the business register (Commercial Register ( Handelsregister ), Register of Partnerships ( Partnerschaftsregister ), Register of Cooperative Societies (Genossenschaftsregister) or Register of Associations ( Vereinsregister )). It is a finite sequence of characters. Note the sequence of elements in the respective country. For German counterparties, the street name is followed by the civic number. If it is necessary to provide additional information on the street and/or building (e.g. block A), this can be added after the civic number. The address is reported in line with the residency of the counterparty according to Article 1(4) of the Council Regulation for ECB statistics. The street address of a foreign branch differs from that of the legal entity to which it belongs (represented by the head office undertaking). Where the address is different from the country of residency in which the counterparty is located according to a given entry in the business register, report the value “NOT_APPL” here. For counterparties whose registered office is located in a country other than that of their business address, the registered office determines which country is to be specified. If no address data are available in the country of the registered office, report NOT_APPL for the address attributes (street, postal code, city)."
"Counterparty reference data","Address: city/town/village","This is the official name of the place where the counterparty’s business address is located, e.g. according to an entry in the business register (Commercial Register ( Handelsregister ), Register of Partnerships ( Partnerschaftsregister ), Register of Cooperative Societies ( Genossenschaftsregister ) or Register of Associations ( Vereinsregister )). If it is necessary to specify a district when stating the address as a whole, this can be added after the official place name and marked as “district”. The address is reported in line with the residency of the counterparty according to Article 1(4) of the Council Regulation for ECB statistics. The city, town or village of residency of a foreign branch differs from that of the legal entity to which it belongs (represented by the head office undertaking). The data attribute Address: city/town/village should contain only the official name of the city or town and not be reported together with a postal code. There is a separate data attribute for this Address: postal code . Where the address is different from the country of residency in which the counterparty is located according to a given entry in the business register, report the value “NOT_APPL” here. For counterparties whose registered office is located in a country other than that of their business address, the registered office determines which country is to be specified. If no address data are available in the country of the registered office, report NOT_APPL for the address attributes (street, postal code, city)."
"Counterparty reference data","Address: county/administrative division","This is the county/administrative division (NUTS 3 classification) of the administrative district or municipality where the counterparty’s business address is located, e.g. in the business register (Commercial Register ( Handelsregister ), Register of Partnerships ( Partnerschaftsregister ), Register of Cooperative Societies ( Genossenschaftsregister ) or Register of Associations ( Vereinsregister )). A mapping of most postal codes to their respective NUTS 3 codes can be found on the Eurostat and European Commission websites. The code lists stored in the AnaCredit reporting template and published on the Bundesbank’s website must always be used when mapping the postal code. The address is reported in line with the residency of the counterparty according to Article 1(4) of the Council Regulation for ECB statistics. The county/administrative division of a foreign branch differs from the one of the legal entity to which it belongs (represented by the head office undertaking). Where the address is different from the country of residency in which the counterparty is located according to a given entry in the business register, report the value “NOT_APPL” here."
"Counterparty reference data","Address: postal code","This is the valid postal code of the official place (i.e. the area in the city, town or village) where the counterparty’s business address is located, e.g. according to the legal entry in the business register (Commercial Register ( Handelsregister )). The address is reported in line with the residency of the counterparty according to Article 1(4) of the Council Regulation for ECB statistics. The postal code of a foreign branch differs from that of the legal entity to which it belongs (represented by the head office undertaking). The patterns published in the “ Handbuch zu den AnaCredit Validierungsregeln ” (Manual on AnaCredit validation rules) 69 apply to counterparties outside Germany. Where the address is different from the country of residency in which the counterparty is located according to a given entry in the business register, report the value “NOT_APPL” here. For counterparties whose registered office is located in a country other than that of their business address, the registered office determines which country is to be specified. If no address data are available in the country of the registered office, report NOT_APPL for the address attributes (street, postal code, city)."
"Counterparty reference data","Address: country","This is the country of the place (i.e. the city, town or village) where the counterparty is registered, e.g. in the business register. The ISO 3166-1: alpha-2 code of the country is to be selected. The following territories, which must be reported with a different country code, are a special case: - “MC” (Monaco), “GF” (French Guiana), “MQ” (Martinique), “GP” (Guadeloupe), “RE” (Réunion), “YT” (Mayotte), “BL” (Saint Barthélemy), “MF” (Saint Martin - French Part), “PM” (Saint Pierre and Miquelon) are reported under the country code “FR” (France) - “EH” (Western Sahara) is reported under the country code “MA” (Marocco) - “SJ” (Svalbard and Jan Mayen) is reported under the country code “No” (Norway) - “PR” (Puerto Rico) is reported under the country code “US” (United States) - “AX” (Åland) is reported under the country code “FI” (Finland) The address is reported in line with the residency of the institutional unit according to Article 1(4) of the Council Regulation for ECB statistics. The country of residency of a foreign branch differs from that of the legal entity to which it belongs (represented by the head office undertaking). Where funds are concerned, the country of the “Jurisdiction of Formation” must be specified as the country. The data attributes address: country , legal form and national identifier – where they exist – must always be reported consistently. For counterparties in EU Member States, this means that the affected data attributes must, as a general rule, begin with the same two-letter country code (example: CNTRY = DE, LGL_FRM = DE201 and national identifier = DE_TRD_RGSTR_CD). Exceptions to this are the value “SPFUND”, non-country-specific legal forms such as the SE (EU100), which can apply to several countries, and the aforementioned territorial areas, which must be reported using a different country identifier. For counterparties whose registered office is located in a country other than that of their business address, the registered office determines which country is to be specified. If no address data are available in the country of the registered office, report NOT_APPL for the address attributes (street, postal code, city)."
"Counterparty reference data","Legal form","The type of business entity as defined in the national legal system is reported in this data attribute. Depending on the country of residency of the counterparty, the list of admissible options is presented in the “list of legal forms”. For counterparties in an EU Member State, do not use legal forms beginning with “RW”. The data attribute national identifier must likewise be reported consistently with the legal form. For counterparties in EU Member States, this means that the affected data attributes must, as a general rule, begin with the same two-letter country code (example: CNTRY = DE, LGL_FRM = DE201 and national identifier = DE_TRD_RGSTR_CD). Exceptions to this are the value “SPFUND”, non- country-specific legal forms such as the SE (EU100), which can apply to several countries, and the territorial areas mentioned under the data attribute Address: country , which must be reported using a different country identifier. For a counterparty which is a foreign branch, report the value “FBRANCH” for the legal form (provided counterparty reference data are required by the reporting template). For counterparties whose registered office is located in a country other than that of their business address, the registered office determines which country and legal form are to be specified. Vorgesellschaften (companies prior to registration) of corporations which already take part in business activities (GmbH i.Gr., UG i.Gr.) are, as a general rule, registered under the GbR legal form. Upon the affected company’s entry in the Commercial Register, a change report ( name , legal form , national identifier ) to this effect needs to be filed for the respective CP-ID. Use the legal form DE501 (local authorities) only for agents that are contained in the list of core budgets and are assigned to ESA subsectors S1311, S1312 and S1313. The list of core budgets also includes agents having other legal forms. For all agents in the above-mentioned sectors, these are explicitly named in the list of core budgets. In addition to the country-specific legal forms, legal entities resident in any country of the European Union can also have one of the following European legal forms, i.e.: • European Company (SE); • European Cooperative Society (SCE); • European Economic Interest Grouping (EEIG); • European Grouping of Territorial Cooperation (EGTC). For legal entities resident outside the European Union, one of the following options is reported (i.e. the one that best represents the country-specific legal form of that particular counterparty): • corporation; • cooperative; • partnership; • sole trader; • limited liability company; • other. Although special funds are treated similarly to foreign branches for AnaCredit reporting purposes, a value for the attribute legal form is also reported in the counterparty reference data record of a counterparty which is a special fund. In this case, the value “SPFUND” is reported, unless a legal form from the relevant country list is deemed more appropriate in that specific case."
"Counterparty reference data","Institutional sector","Here, the institutional sector is to be reported pursuant to ESA 2010, the CRR, the BSI Regulation and the FVC Regulation. This refers exclusively to the institutional unit. Therefore, in the case of a legal entity which has foreign branches, the value reported for the institutional sector of the head office undertaking (representing the legal entity) may differ from the value reported for the institutional sector of the foreign branches. Information on allocating sectors to customer classification codes (economic activities) can be found in Special Statistical Publication 2 as last amended. The latest version can be found on the Bundesbank’s website under Publications > Statistics > Special Statistical Publications. See also Service > Reporting systems > Banking statistics > Customer classification to view the Bundesbank’s company registers."
"Counterparty reference data","Economic activity","The data attribute economic activity is where a counterparty’s two-digit classification in accordance with NACE Rev 2.1 is entered. Three and four-digit classifications may also be entered. In cases where it is necessary to report economic activity, this can, alternatively, be reported in the data attribute customer classification code ."
"Counterparty reference data","Customer classification code","As an alternative to the data attribute economic activity , German reporting agents can also report the data attribute customer classification code by entering the three-digit code found in the Bundesbank’s Special Statistical Publication 2 – Customer classification . For reporting agents which, in their internal systems, use the codes in the Federal Statistical Office’s Classification of Economic Activities, Edition 2025 (WZ 2025) based on NACE Rev 2.1, differences between the first two characters in the classification codes should be noted. These are also available in the Special Statistical Publication 2."
"Counterparty reference data","Status of legal proceedings","One of the following statuses is reported here: No legal actions taken Under judicial administration, receivership or similar measures These include an order of provisional measures by the insolvency court pursuant to sections 21 and 22 of the Insolvency Code ( Insolvenzordnung ) in the event that an insolvency plan procedure is to be expected, insolvency plan pursuant to Part 6 of the Insolvency Code, debtor-in-possession management pursuant to section 270b of the Insolvency Code; only for credit institutions as debtors: measures taken by the Federal Financial Supervisory Authority in the case of danger pursuant to section 46(1) sentence 2 numbers 4 to 6 of the German Banking Act ( Kreditwesengesetz ), reorganisation procedure pursuant to the Credit Institution Reorganisation Act ( Kreditinstitute-Reorganisationsgesetz ). Bankruptcy/insolvency Initiation of insolvency proceedings where there is no prospect of an insolvency plan nor has one been applied for; rejection due to insufficient assets. Other legal measures These include a withdrawal of credit announced by the reporting agent or disclosed to the reporting agent, provided this was announced for reasons of creditworthiness (rather than, for example, other terminations due to covenant violations etc.), out-of-court realisation of collateral, judicial dunning procedures, insofar as these are based on solvency grounds, provisional and final compulsory enforcement measures (Eighth Book of the Code of Civil Procedure ( Zivilprozessordnung )), as well as, with regard to land: foreclosure sale or receivership outside the scope of insolvency proceedings (as a writ of execution), provided this is initiated by the reporting agent or disclosed to the reporting agent, early intervention powers under Section 36 of the Recovery and Resolution Act ( Sanierungs- und Abwicklungsgesetz ) and ordering of resolution actions under the Recovery and Resolution Act. If legal actions have never previously been taken against a counterparty, then “No legal actions taken” is reported in the data attribute status of legal proceedings . The attendant date is always reported along with the report of the status of legal proceedings . A report of the status of legal proceedings without the attendant date is not permitted."
"Counterparty reference data","Date of initiation of legal proceedings","This data attribute captures the date when the information reported in the data attribute status of legal proceedings is considered to have been initiated, irrespective of whether the legal proceedings were initiated by the reporting agent or by a third party. This data attribute is reported whenever a change in the data attribute status of legal proceedings is reported for a given counterparty. If the value for a counterparty of the data attribute status of legal proceedings has been “No legal actions taken” from the inception date, then “Not applicable” is reported in the data attribute date of initiation of legal proceedings . If the status changes from any other status to “No legal actions taken” (e.g. because the counterparty has recovered following a period where it was under judicial administration), the date of such a change is reported in the data attribute date of initiation of legal proceedings . If the latter date is before the first reporting reference date, “Not applicable” is reported in this data attribute."
"Counterparty reference data","Enterprise size","This data attribute classifies counterparties which are enterprises by size. Enterprises are classified by size in accordance with the Annex to Commission Recommendation 2003/361/EC. Classification is based on Article 2 of the Annex to this Recommendation, which states the following. 1. The category of micro, small and medium-sized enterprises (SMEs) is made up of enterprises which employ fewer than 250 persons and which have an annual turnover not exceeding €50 million, and/or an annual balance sheet total not exceeding €43 million. 2. Within the SME category, a small enterprise is defined as an enterprise which employs fewer than 50 persons and whose annual turnover and/or annual balance sheet total does not exceed €10 million. 3. Within the SME category, a microenterprise is defined as an enterprise which employs fewer than 10 persons and whose annual turnover and/or annual balance sheet total does not exceed €2 million. In addition to Article 2 of Commission Recommendation 2003/361/EC, preamble 4 of said Recommendation states the following. 1. The criterion of staff numbers must be observed as the main criterion. 2. Only in conjunction with a financial criterion is it possible to grasp the real scale and performance of an enterprise. Thus the turnover criterion should be combined with that of the balance sheet total. 3. Preamble 4 refers furthermore to “the possibility of either of these two criteria being exceeded”. Therefore, for an enterprise to be classified in the lower size category in each case, the criterion of staff numbers must be met either in conjunction with annual turnover OR annual balance sheet total. 4. Furthermore, links to other enterprises should be considered when calculating staff numbers and the financial ceiling. The basis for the data to be used is governed by Article 4 of the Annex to this Recommendation, which states the following. Data used for the staff headcount and the financial amounts and reference period (1) The data to apply to the headcount of staff and the financial amounts are those relating to the latest approved accounting period and calculated on an annual basis. They are taken into account from the date of closure of the accounts. The amount selected for the turnover is calculated excluding value added tax (VAT) and other indirect taxes. (2) Where, at the date of closure of the accounts, an enterprise finds that, on an annual basis, it has exceeded or fallen below the headcount or financial ceilings stated in Article 2, this will not result in the loss or acquisition of the status of medium-sized, small or microenterprise unless those ceilings are exceeded over two consecutive accounting periods. (3) In the case of newly established enterprises whose accounts have not yet been approved, the data to apply are to be derived from a bona fide estimate made in the course of the financial year. If there are insufficient data to determine the data attribute enterprise size , the value “Not applicable” should be reported. See also Part IV 2 (e) Specific reporting requirements for certain types of counterparty for further cases where the value “Not applicable” should be reported for the data attribute enterprise size . For the number of employees, balance sheet total and annual turnover data attributes, the values to be given here are those relating to the individual enterprise (level of the legal entity, i.e. the entire AG, GmbH, etc. including all branches), not group figures. This is also the case where, for groups, the enterprise size classification follows Commission Recommendation 2003/361/EC based on group figures. If only group figures are available, “Not applicable” is reported for the individual enterprise in these data attributes. The attendant date is always reported along with the report of the enterprise size . A report of the enterprise size without the attendant date is not permitted."
---
121 /home/perni/clexp/AnaCredit/anacredit_data_attributes.csv
