form;field_id;description_en;method;notes
V1B;400;Value adjustments — Summe (100+200+300);calculate;Bewertungskorrekturen
V3B;100;Value adjustments — Unternehmen total;calculate;Bewertungskorrekturen
V3B;110;Value adjustments — Land- und Forstwirtschaft;input;Bewertungskorrekturen
V3B;120;Value adjustments — Energie/Wasserversorgung/Bergbau;input;Bewertungskorrekturen
V3B;130;Value adjustments — Verarbeitendes Gewerbe;input;Bewertungskorrekturen
V3B;140;Value adjustments — Baugewerbe;input;Bewertungskorrekturen
V3B;150;Value adjustments — Handel;input;Bewertungskorrekturen
V3B;160;Value adjustments — Verkehr und Lagerei;input;Bewertungskorrekturen
V3B;170;Value adjustments — Finanzierungsinstitutionen;input;Bewertungskorrekturen
V3B;180;Value adjustments — Dienstleistungen;input;Bewertungskorrekturen
V3B;200;Value adjustments — Privatpersonen total;calculate;Bewertungskorrekturen
V3B;210;Value adjustments — Ratenkredite;input;Bewertungskorrekturen
V3B;220;Value adjustments — Nichtratenkredite;input;Bewertungskorrekturen
V3B;230;Value adjustments — Wohnungsbaukredite;input;Bewertungskorrekturen
V3B;300;Value adjustments — Organisationen ohne Erwerbszweck;input;Bewertungskorrekturen
V3B;400;Value adjustments — Summe (100+200+300);calculate;Bewertungskorrekturen
