form;field_id;description_en;method;relevant_charge_card;notes
S12;079;ECB debt securities (sub of 081);sub;N;Z079S12
S12;084;Floating rate notes (sub of 082);sub;N;Z084S12
S12;085;Zero coupon bonds (sub of 082);sub;N;Z085S12
S12;086;Foreign currency bonds (sub of 082);sub;N;Z086S12
S12;101;Nominal value of participations in domestic banks incl. cooperative shares (memo re 100+110);sub;N;Z101S12
S12;131;Debt securities from conversion of equalisation claims (sub of 130);sub;N;Z131S12
S12;141;Real estate portfolio (sub of 140);sub;N;Z141S12
S12;161;Nominal value of own shares (sub of 160);sub;N;Z161S12
S12;177;Options, margin payments (sub of 176);sub;N;Z177S12
S12;178;Interest accrued on loans (sub of 176);input;Y;Z178S12
S12;183;Interest accrued on securities — assets side (sub of 176);input;N;Z183S12
S12;184;Prepaid expenses excl. 173 (sub of 176);sub;N;Z184S12
S12;185;Tax refund claims (sub of 176);sub;N;Z185S12
S12;186;Derivatives trading portfolio — positive value (sub of 176);sub;N;Z186S12
S12;187;Currency adjustment item (sub of 176);sub;N;Z187S12
S12;188;Working capital at foreign branches (sub of 176);sub;N;Z188S12
S12;189;Negative interest accrued on loans (sub of 176);input;N;Z189S12
S12;190;Negative interest accrued on securities (sub of 176);input;N;Z190S12
S12;196;Trading portfolio — memo item (sub of 180);sub;N;Z196S12
S12;197;Derivative fin. instruments excl. trading portfolio (sub of 176);sub;N;Z197S12
S12;198;Interest accrued on trading derivatives (sub of 176);sub;N;Z198S12
S12;213;Servicing loans — sold with derecognition, originator+servicer;sub;N;Z213S12
S12;214;Servicing loans — sold without derecognition, originator;sub;N;Z214S12
S12;215;Servicing loans — servicer only, not originator;sub;N;Z215S12
S12;700;Trading portfolio (sub of 060);sub;N;Z700S12
S12;701;Trading portfolio (sub of 070);sub;N;Z701S12
S12;702;Trading portfolio (sub of 080);sub;N;Z702S12
S12;703;Trading portfolio (sub of 090);sub;N;Z703S12
S12;704;Trading portfolio (sub of 040);sub;N;Z704S12
S12;760;Ledger level before EWB — loans to banks (memo re 060);sub;N;Z760S12
S12;770;Ledger level before EWB — loans to non-banks (memo re 070);sub;N;Z770S12
S12;179;Claims underlying securitisations — derecognition, originator+servicer;sub;N;Z179S12
S12;181;Claims underlying securitisations — servicer only;sub;N;Z181S12
S12;182;Claims underlying securitisations — no derecognition, originator;sub;N;Z182S12
S21;210;Liabilities to banks (MFIs);input;Y;Z210S21 → sum = Annex A2 row 100
S21;211;  Syndicated loans raised (sub of 210);sub;N;via HV22/211
S21;219;  Registered debt securities (sub of 210);sub;N;via HV22/219
S21;220;Liabilities to non-banks (non-MFIs) — total;calculate;Y;Z220S21
S21;221;  Savings deposits;input;N;Z221S21 — nil for charge card company
S21;222;  Other liabilities to non-banks;input;Y;Z222S21 → sum = Annex C1 row 500
S21;230;Securitised liabilities — total;calculate;N;Z230S21
S21;231;  Debt securities in issue;input;N;Z231S21
S21;232;  Money market paper in issue;input;N;Z232S21
S21;233;  Own acceptances and promissory notes outstanding;input;N;Z233S21
S21;234;  Other securitised liabilities;input;N;Z234S21
S21;240;Fiduciary liabilities — total;calculate;N;Z240S21
S21;241;  Fiduciary loans;input;N;Z241S21
S21;242;  Securities issued on fiduciary basis;input;N;Z242S21
S21;243;  Other fiduciary liabilities;input;N;Z243S21
S21;250;Value adjustments;input;Y;Z250S21
S21;260;Provisions for liabilities and charges;input;Y;Z260S21
S21;270;(Blank item — vacant);nil;N;Z270S21
S21;280;Subordinated liabilities;input;N;Z280S21
S21;290;Capital represented by participation rights;input;N;Z290S21
S21;300;Fund for general banking risks;input;N;Z300S21
S21;310;Capital — total;calculate;Y;Z310S21
S21;311;  Subscribed capital;input;Y;Z311S21
S21;312;  Reserves;input;Y;Z312S21
S21;313;  Less: net loss of previous year and loss brought forward;input;Y;"Z313S21 — enter as positive; deducted in formula"
S21;320;Other liabilities — total;calculate;Y;Z320S21
S21;321;  Interest accrued on zero coupon bonds;input;N;Z321S21
S21;322;  Liability item from refinancing of lease receivables;input;N;Z322S21
S21;323;  Liabilities from transactions in goods and trade credits;input;N;Z323S21
S21;324;  Debit balance on items in process of settlement;input;N;Z324S21
S21;325;  Debit balance on income and expenditure accounts;input;Y;Z325S21
S21;326;  Others (accrued liabilities, deferred tax, derivatives, etc.);input;Y;Z326S21
S21;330;Total liabilities;calculate;Y;Z330S21 — must equal HV11/180
S21;340;Contingent liabilities — total;calculate;Y;Z340S21
S21;341;  Endorsement liabilities on rediscounted bills;input;N;Z341S21
S21;342;  Sureties and guarantee agreements;input;Y;Z342S21
S21;343;  Assets pledged as collateral for third parties;input;N;Z343S21
S21;350;Bills sent for collection before maturity;input;N;Z350S21
S21;360;Volume of business;calculate;Y;Z360S21
S21;370;Commitments from sales with repurchase option — total;calculate;N;Z370S21
S21;371;  to domestic banks (MFIs);input;N;Z371S21
S21;372;  to domestic non-banks;input;N;Z372S21
S21;373;  to non-residents;input;N;Z373S21
S21;380;Placing and underwriting commitments;input;N;Z380S21
S21;390;Irrevocable lending commitments;input;Y;Z390S21 → sum = Annex L1 row 700
S22;211;Syndicated loans raised (sub of HV21/210);sub;N;Z211S22
S22;219;Registered debt securities to banks (sub of HV21/210);sub;N;Z219S22
S22;223;Syndicated loans (sub of HV21/220);sub;N;Z223S22
S22;229;Registered debt securities to non-banks (sub of HV21/222);sub;N;Z229S22
S22;239;Own acceptances held in portfolio (memo re HV21/233);sub;N;Z239S22
S22;281;Subordinated negotiable debt securities (sub of HV21/280);sub;N;Z281S22
S22;282;Subordinated non-negotiable debt securities (sub of HV21/280);sub;N;Z282S22
S22;284;  of which: denominated in euro (sub of 282);sub;N;Z284S22
S22;285;Subordinated registered debt securities — denominated in euro (sub of HV21/327);sub;N;Z285S22
S22;295;Additional regulatory tier 1 instruments (sub of HV21/290);sub;N;Z295S22
S22;301;Fund: amounts per §340e(4) HGB (sub of HV21/300);sub;N;Z301S22
S22;302;Fund: other earmarked amounts (sub of HV21/300);sub;N;Z302S22
S22;329;Amounts loaded on prepaid cards (sub of HV21/326);sub;N;Z329S22
S22;336;Interest accrued on liabilities (sub of HV21/326);input;Y;Z336S22
S22;337;Interest accrued on securities — liabilities side (sub of HV21/326);input;N;Z337S22
S22;338;Deferred income (sub of HV21/326);sub;N;Z338S22
S22;339;Undisclosed contingency reserves (sub of HV21/326);sub;N;Z339S22
S22;400;Funds raised against collateral — total;calculate;N;Z400S22
S22;401;  Own assets;input;N;Z401S22
S22;402;  Other collateral;input;N;Z402S22
S22;410;Interest and currency swaps — total;calculate;N;Z410S22
S22;411;  Interest swaps;input;N;Z411S22
S22;412;  Currency swaps;input;N;Z412S22
S22;413;  Cross-currency interest rate swaps;input;N;Z413S22
S22;420;Administered loans;input;N;Z420S22
S22;431;Retirement provisions (sub of HV21/221);sub;N;Z431S22
S22;432;Subordinated debt securities maturity ≤2yr (sub of HV21/280);sub;N;Z432S22
S22;441;Subordinated non-securitised liabilities to non-banks ≤2yr;sub;N;Z441S22
S22;442;  of which: domestic+EA non-banks;sub;N;Z442S22
S22;443;  of which: non-MFI credit institutions subject to min. reserve;sub;N;Z443S22
S22;472;Number of employees — full-time equivalents (annual: Feb only);input;Y;Z472S22 — non-monetary
S22;473;Number of employees — headcount (annual: Feb only);input;Y;Z473S22 — non-monetary
S22;505;Derivatives trading portfolio — negative value (sub of HV21/326);sub;N;Z505S22
S22;506;Currency adjustment item (sub of HV21/326);sub;N;Z506S22
S22;507;Negative interest accrued on liabilities (sub of HV21/326);input;N;Z507S22
S22;508;Negative interest accrued on securities (sub of HV21/326);input;N;Z508S22
S22;510;Net profit / profit brought forward (sub of HV21/326);input;Y;Z510S22
S22;511;Derivatives excl. trading portfolio — negative (sub of HV21/326);sub;N;Z511S22
S22;512;Covered bonds for own use per Art.138 ECB (sub of HV21/326);sub;N;Z512S22
S22;515;Reserves: revenue reserve share (sub of HV21/312);sub;N;Z515S22
S22;521;Reserves: capital reserve share (sub of HV21/312);sub;N;Z521S22
S22;523;Notional cash pooling metric (annual: Feb only);input;N;Z523S22 — enter code 1-4
A1;111/01;Domestic banks excl. 113/151/114 — overnight;input;Y;
A1;111/02;Domestic banks excl. 113/151/114 — ≤1yr;input;Y;
A1;111/03;Domestic banks excl. 113/151/114 — >1yr ≤5yr;input;Y;
A1;111/04;Domestic banks excl. 113/151/114 — >5yr;input;Y;
A1;111/05;Domestic banks excl. 113/151/114 — total cols 01-04;input;Y;
A1;111/06;Domestic banks excl. 113/151/114 — discount credit;input;Y;
A1;111/07;Domestic banks excl. 113/151/114 — bills held;input;Y;
A1;111/08;Domestic banks excl. 113/151/114 — fiduciary loans;input;Y;
A1;111/09;Domestic banks excl. 113/151/114 — central bank balances;input;Y;
A1;111/10;Domestic banks excl. 113/151/114 — syndicated (memo, in cols 05+07);input;Y;
A1;113/01;Landesbank/affiliated savings banks — overnight;input;N;
A1;113/02;Landesbank/affiliated savings banks — ≤1yr;input;N;
A1;113/03;Landesbank/affiliated savings banks — >1yr ≤5yr;input;N;
A1;113/04;Landesbank/affiliated savings banks — >5yr;input;N;
A1;113/05;Landesbank/affiliated savings banks — total cols 01-04;input;N;
A1;113/06;Landesbank/affiliated savings banks — discount credit;input;N;
A1;113/07;Landesbank/affiliated savings banks — bills held;input;N;
A1;113/08;Landesbank/affiliated savings banks — fiduciary loans;input;N;
A1;113/09;Landesbank/affiliated savings banks — central bank balances;input;N;
A1;113/10;Landesbank/affiliated savings banks — syndicated (memo, in cols 05+07);input;N;
A1;114/01;Deutsche Bundesbank — overnight;input;Y;
A1;114/02;Deutsche Bundesbank — ≤1yr;input;Y;
A1;114/03;Deutsche Bundesbank — >1yr ≤5yr;input;Y;
A1;114/04;Deutsche Bundesbank — >5yr;input;Y;
A1;114/05;Deutsche Bundesbank — total cols 01-04;input;Y;
A1;114/06;Deutsche Bundesbank — discount credit;input;Y;
A1;114/07;Deutsche Bundesbank — bills held;input;Y;
A1;114/08;Deutsche Bundesbank — fiduciary loans;input;Y;
A1;114/09;Deutsche Bundesbank — central bank balances;input;Y;
A1;114/10;Deutsche Bundesbank — syndicated (memo, in cols 05+07);input;Y;
A1;115/01;  of which: reverse repo (sub 111) — overnight;sub;N;
A1;115/02;  of which: reverse repo (sub 111) — ≤1yr;sub;N;
A1;115/03;  of which: reverse repo (sub 111) — >1yr ≤5yr;sub;N;
A1;115/04;  of which: reverse repo (sub 111) — >5yr;sub;N;
A1;115/05;  of which: reverse repo (sub 111) — total cols 01-04;sub;N;
A1;115/06;  of which: reverse repo (sub 111) — discount credit;sub;N;
A1;115/07;  of which: reverse repo (sub 111) — bills held;sub;N;
A1;115/08;  of which: reverse repo (sub 111) — fiduciary loans;sub;N;
A1;115/09;  of which: reverse repo (sub 111) — central bank balances;sub;N;
A1;115/10;  of which: reverse repo (sub 111) — syndicated (memo, in cols 05+07);sub;N;
A1;116/01;  of which: reverse repo (sub 113) — overnight;sub;N;
A1;116/02;  of which: reverse repo (sub 113) — ≤1yr;sub;N;
A1;116/03;  of which: reverse repo (sub 113) — >1yr ≤5yr;sub;N;
A1;116/04;  of which: reverse repo (sub 113) — >5yr;sub;N;
A1;116/05;  of which: reverse repo (sub 113) — total cols 01-04;sub;N;
A1;116/06;  of which: reverse repo (sub 113) — discount credit;sub;N;
A1;116/07;  of which: reverse repo (sub 113) — bills held;sub;N;
A1;116/08;  of which: reverse repo (sub 113) — fiduciary loans;sub;N;
A1;116/09;  of which: reverse repo (sub 113) — central bank balances;sub;N;
A1;116/10;  of which: reverse repo (sub 113) — syndicated (memo, in cols 05+07);sub;N;
A1;117/01;  of which: reverse repo (sub 114) — overnight;sub;N;
A1;117/02;  of which: reverse repo (sub 114) — ≤1yr;sub;N;
A1;117/03;  of which: reverse repo (sub 114) — >1yr ≤5yr;sub;N;
A1;117/04;  of which: reverse repo (sub 114) — >5yr;sub;N;
A1;117/05;  of which: reverse repo (sub 114) — total cols 01-04;sub;N;
A1;117/06;  of which: reverse repo (sub 114) — discount credit;sub;N;
A1;117/07;  of which: reverse repo (sub 114) — bills held;sub;N;
A1;117/08;  of which: reverse repo (sub 114) — fiduciary loans;sub;N;
A1;117/09;  of which: reverse repo (sub 114) — central bank balances;sub;N;
A1;117/10;  of which: reverse repo (sub 114) — syndicated (memo, in cols 05+07);sub;N;
A1;121/01;Banks in other euro area — overnight;input;Y;
A1;121/02;Banks in other euro area — ≤1yr;input;Y;
A1;121/03;Banks in other euro area — >1yr ≤5yr;input;Y;
A1;121/04;Banks in other euro area — >5yr;input;Y;
A1;121/05;Banks in other euro area — total cols 01-04;input;Y;
A1;121/06;Banks in other euro area — discount credit;input;Y;
A1;121/07;Banks in other euro area — bills held;input;Y;
A1;121/08;Banks in other euro area — fiduciary loans;input;Y;
A1;121/09;Banks in other euro area — central bank balances;input;Y;
A1;121/10;Banks in other euro area — syndicated (memo, in cols 05+07);input;Y;
A1;123/01;Banks outside euro area — overnight;input;N;
A1;123/02;Banks outside euro area — ≤1yr;input;N;
A1;123/03;Banks outside euro area — >1yr ≤5yr;input;N;
A1;123/04;Banks outside euro area — >5yr;input;N;
A1;123/05;Banks outside euro area — total cols 01-04;input;N;
A1;123/06;Banks outside euro area — discount credit;input;N;
A1;123/07;Banks outside euro area — bills held;input;N;
A1;123/08;Banks outside euro area — fiduciary loans;input;N;
A1;123/09;Banks outside euro area — central bank balances;input;N;
A1;123/10;Banks outside euro area — syndicated (memo, in cols 05+07);input;N;
A1;124/01;  of which: reverse repo (sub 123) — overnight;sub;N;
A1;124/02;  of which: reverse repo (sub 123) — ≤1yr;sub;N;
A1;124/03;  of which: reverse repo (sub 123) — >1yr ≤5yr;sub;N;
A1;124/04;  of which: reverse repo (sub 123) — >5yr;sub;N;
A1;124/05;  of which: reverse repo (sub 123) — total cols 01-04;sub;N;
A1;124/06;  of which: reverse repo (sub 123) — discount credit;sub;N;
A1;124/07;  of which: reverse repo (sub 123) — bills held;sub;N;
A1;124/08;  of which: reverse repo (sub 123) — fiduciary loans;sub;N;
A1;124/09;  of which: reverse repo (sub 123) — central bank balances;sub;N;
A1;124/10;  of which: reverse repo (sub 123) — syndicated (memo, in cols 05+07);sub;N;
A1;131/01;  of which: central counterparties (sub 111) — overnight;sub;N;
A1;131/02;  of which: central counterparties (sub 111) — ≤1yr;sub;N;
A1;131/03;  of which: central counterparties (sub 111) — >1yr ≤5yr;sub;N;
A1;131/04;  of which: central counterparties (sub 111) — >5yr;sub;N;
A1;131/05;  of which: central counterparties (sub 111) — total cols 01-04;sub;N;
A1;131/06;  of which: central counterparties (sub 111) — discount credit;sub;N;
A1;131/07;  of which: central counterparties (sub 111) — bills held;sub;N;
A1;131/08;  of which: central counterparties (sub 111) — fiduciary loans;sub;N;
A1;131/09;  of which: central counterparties (sub 111) — central bank balances;sub;N;
A1;131/10;  of which: central counterparties (sub 111) — syndicated (memo, in cols 05+07);sub;N;
A1;132/01;  of which: central counterparties (sub 113) — overnight;sub;N;
A1;132/02;  of which: central counterparties (sub 113) — ≤1yr;sub;N;
A1;132/03;  of which: central counterparties (sub 113) — >1yr ≤5yr;sub;N;
A1;132/04;  of which: central counterparties (sub 113) — >5yr;sub;N;
A1;132/05;  of which: central counterparties (sub 113) — total cols 01-04;sub;N;
A1;132/06;  of which: central counterparties (sub 113) — discount credit;sub;N;
A1;132/07;  of which: central counterparties (sub 113) — bills held;sub;N;
A1;132/08;  of which: central counterparties (sub 113) — fiduciary loans;sub;N;
A1;132/09;  of which: central counterparties (sub 113) — central bank balances;sub;N;
A1;132/10;  of which: central counterparties (sub 113) — syndicated (memo, in cols 05+07);sub;N;
A1;133/01;  of which: central counterparties (sub 121) — overnight;sub;N;
A1;133/02;  of which: central counterparties (sub 121) — ≤1yr;sub;N;
A1;133/03;  of which: central counterparties (sub 121) — >1yr ≤5yr;sub;N;
A1;133/04;  of which: central counterparties (sub 121) — >5yr;sub;N;
A1;133/05;  of which: central counterparties (sub 121) — total cols 01-04;sub;N;
A1;133/06;  of which: central counterparties (sub 121) — discount credit;sub;N;
A1;133/07;  of which: central counterparties (sub 121) — bills held;sub;N;
A1;133/08;  of which: central counterparties (sub 121) — fiduciary loans;sub;N;
A1;133/09;  of which: central counterparties (sub 121) — central bank balances;sub;N;
A1;133/10;  of which: central counterparties (sub 121) — syndicated (memo, in cols 05+07);sub;N;
A1;134/01;  of which: central counterparties (sub 123) — overnight;sub;N;
A1;134/02;  of which: central counterparties (sub 123) — ≤1yr;sub;N;
A1;134/03;  of which: central counterparties (sub 123) — >1yr ≤5yr;sub;N;
A1;134/04;  of which: central counterparties (sub 123) — >5yr;sub;N;
A1;134/05;  of which: central counterparties (sub 123) — total cols 01-04;sub;N;
A1;134/06;  of which: central counterparties (sub 123) — discount credit;sub;N;
A1;134/07;  of which: central counterparties (sub 123) — bills held;sub;N;
A1;134/08;  of which: central counterparties (sub 123) — fiduciary loans;sub;N;
A1;134/09;  of which: central counterparties (sub 123) — central bank balances;sub;N;
A1;134/10;  of which: central counterparties (sub 123) — syndicated (memo, in cols 05+07);sub;N;
A1;141/01;  of which: group members (sub 111) — overnight;sub;N;
A1;141/02;  of which: group members (sub 111) — ≤1yr;sub;N;
A1;141/03;  of which: group members (sub 111) — >1yr ≤5yr;sub;N;
A1;141/04;  of which: group members (sub 111) — >5yr;sub;N;
A1;141/05;  of which: group members (sub 111) — total cols 01-04;sub;N;
A1;141/06;  of which: group members (sub 111) — discount credit;sub;N;
A1;141/07;  of which: group members (sub 111) — bills held;sub;N;
A1;141/08;  of which: group members (sub 111) — fiduciary loans;sub;N;
A1;141/09;  of which: group members (sub 111) — central bank balances;sub;N;
A1;141/10;  of which: group members (sub 111) — syndicated (memo, in cols 05+07);sub;N;
A1;142/01;  of which: group members (sub 113) — overnight;sub;N;
A1;142/02;  of which: group members (sub 113) — ≤1yr;sub;N;
A1;142/03;  of which: group members (sub 113) — >1yr ≤5yr;sub;N;
A1;142/04;  of which: group members (sub 113) — >5yr;sub;N;
A1;142/05;  of which: group members (sub 113) — total cols 01-04;sub;N;
A1;142/06;  of which: group members (sub 113) — discount credit;sub;N;
A1;142/07;  of which: group members (sub 113) — bills held;sub;N;
A1;142/08;  of which: group members (sub 113) — fiduciary loans;sub;N;
A1;142/09;  of which: group members (sub 113) — central bank balances;sub;N;
A1;142/10;  of which: group members (sub 113) — syndicated (memo, in cols 05+07);sub;N;
A1;143/01;  of which: group members (sub 121) — overnight;sub;N;
A1;143/02;  of which: group members (sub 121) — ≤1yr;sub;N;
A1;143/03;  of which: group members (sub 121) — >1yr ≤5yr;sub;N;
A1;143/04;  of which: group members (sub 121) — >5yr;sub;N;
A1;143/05;  of which: group members (sub 121) — total cols 01-04;sub;N;
A1;143/06;  of which: group members (sub 121) — discount credit;sub;N;
A1;143/07;  of which: group members (sub 121) — bills held;sub;N;
A1;143/08;  of which: group members (sub 121) — fiduciary loans;sub;N;
A1;143/09;  of which: group members (sub 121) — central bank balances;sub;N;
A1;143/10;  of which: group members (sub 121) — syndicated (memo, in cols 05+07);sub;N;
A1;144/01;  of which: group members (sub 123) — overnight;sub;N;
A1;144/02;  of which: group members (sub 123) — ≤1yr;sub;N;
A1;144/03;  of which: group members (sub 123) — >1yr ≤5yr;sub;N;
A1;144/04;  of which: group members (sub 123) — >5yr;sub;N;
A1;144/05;  of which: group members (sub 123) — total cols 01-04;sub;N;
A1;144/06;  of which: group members (sub 123) — discount credit;sub;N;
A1;144/07;  of which: group members (sub 123) — bills held;sub;N;
A1;144/08;  of which: group members (sub 123) — fiduciary loans;sub;N;
A1;144/09;  of which: group members (sub 123) — central bank balances;sub;N;
A1;144/10;  of which: group members (sub 123) — syndicated (memo, in cols 05+07);sub;N;
A1;151/01;Money market funds (MFIs) — overnight;input;N;
A1;151/02;Money market funds (MFIs) — ≤1yr;input;N;
A1;151/03;Money market funds (MFIs) — >1yr ≤5yr;input;N;
A1;151/04;Money market funds (MFIs) — >5yr;input;N;
A1;151/05;Money market funds (MFIs) — total cols 01-04;input;N;
A1;151/06;Money market funds (MFIs) — discount credit;input;N;
A1;151/07;Money market funds (MFIs) — bills held;input;N;
A1;151/08;Money market funds (MFIs) — fiduciary loans;input;N;
A1;151/09;Money market funds (MFIs) — central bank balances;input;N;
A1;151/10;Money market funds (MFIs) — syndicated (memo, in cols 05+07);input;N;
A1;154/01;  of which: Central banks in other euro area (sub 121) — overnight;sub;N;
A1;154/02;  of which: Central banks in other euro area (sub 121) — ≤1yr;sub;N;
A1;154/03;  of which: Central banks in other euro area (sub 121) — >1yr ≤5yr;sub;N;
A1;154/04;  of which: Central banks in other euro area (sub 121) — >5yr;sub;N;
A1;154/05;  of which: Central banks in other euro area (sub 121) — total cols 01-04;sub;N;
A1;154/06;  of which: Central banks in other euro area (sub 121) — discount credit;sub;N;
A1;154/07;  of which: Central banks in other euro area (sub 121) — bills held;sub;N;
A1;154/08;  of which: Central banks in other euro area (sub 121) — fiduciary loans;sub;N;
A1;154/09;  of which: Central banks in other euro area (sub 121) — central bank balances;sub;N;
A1;154/10;  of which: Central banks in other euro area (sub 121) — syndicated (memo, in cols 05+07);sub;N;
A1;155/01;  of which: reverse repo (sub 154) — overnight;sub;N;
A1;155/02;  of which: reverse repo (sub 154) — ≤1yr;sub;N;
A1;155/03;  of which: reverse repo (sub 154) — >1yr ≤5yr;sub;N;
A1;155/04;  of which: reverse repo (sub 154) — >5yr;sub;N;
A1;155/05;  of which: reverse repo (sub 154) — total cols 01-04;sub;N;
A1;155/06;  of which: reverse repo (sub 154) — discount credit;sub;N;
A1;155/07;  of which: reverse repo (sub 154) — bills held;sub;N;
A1;155/08;  of which: reverse repo (sub 154) — fiduciary loans;sub;N;
A1;155/09;  of which: reverse repo (sub 154) — central bank balances;sub;N;
A1;155/10;  of which: reverse repo (sub 154) — syndicated (memo, in cols 05+07);sub;N;
A1;164/01;  of which: Central banks outside euro area (sub 123) — overnight;sub;N;
A1;164/02;  of which: Central banks outside euro area (sub 123) — ≤1yr;sub;N;
A1;164/03;  of which: Central banks outside euro area (sub 123) — >1yr ≤5yr;sub;N;
A1;164/04;  of which: Central banks outside euro area (sub 123) — >5yr;sub;N;
A1;164/05;  of which: Central banks outside euro area (sub 123) — total cols 01-04;sub;N;
A1;164/06;  of which: Central banks outside euro area (sub 123) — discount credit;sub;N;
A1;164/07;  of which: Central banks outside euro area (sub 123) — bills held;sub;N;
A1;164/08;  of which: Central banks outside euro area (sub 123) — fiduciary loans;sub;N;
A1;164/09;  of which: Central banks outside euro area (sub 123) — central bank balances;sub;N;
A1;164/10;  of which: Central banks outside euro area (sub 123) — syndicated (memo, in cols 05+07);sub;N;
A1;171/01;  of which: money market funds (sub 121) — overnight;sub;N;
A1;171/02;  of which: money market funds (sub 121) — ≤1yr;sub;N;
A1;171/03;  of which: money market funds (sub 121) — >1yr ≤5yr;sub;N;
A1;171/04;  of which: money market funds (sub 121) — >5yr;sub;N;
A1;171/05;  of which: money market funds (sub 121) — total cols 01-04;sub;N;
A1;171/06;  of which: money market funds (sub 121) — discount credit;sub;N;
A1;171/07;  of which: money market funds (sub 121) — bills held;sub;N;
A1;171/08;  of which: money market funds (sub 121) — fiduciary loans;sub;N;
A1;171/09;  of which: money market funds (sub 121) — central bank balances;sub;N;
A1;171/10;  of which: money market funds (sub 121) — syndicated (memo, in cols 05+07);sub;N;
A1;100/01;Banks total (110 + 120) — overnight;calculate;Y;
A1;100/02;Banks total (110 + 120) — ≤1yr;calculate;Y;
A1;100/03;Banks total (110 + 120) — >1yr ≤5yr;calculate;Y;
A1;100/04;Banks total (110 + 120) — >5yr;calculate;Y;
A1;100/05;Banks total (110 + 120) — total cols 01-04;calculate;Y;
A1;100/06;Banks total (110 + 120) — discount credit;calculate;Y;
A1;100/07;Banks total (110 + 120) — bills held;calculate;Y;
A1;100/08;Banks total (110 + 120) — fiduciary loans;calculate;Y;
A1;100/09;Banks total (110 + 120) — central bank balances;calculate;Y;
A1;100/10;Banks total (110 + 120) — syndicated (memo, in cols 05+07);calculate;Y;
A1;110/01;Domestic banks total (111 + 113 + 151 + 114) — overnight;calculate;Y;
A1;110/02;Domestic banks total (111 + 113 + 151 + 114) — ≤1yr;calculate;Y;
A1;110/03;Domestic banks total (111 + 113 + 151 + 114) — >1yr ≤5yr;calculate;Y;
A1;110/04;Domestic banks total (111 + 113 + 151 + 114) — >5yr;calculate;Y;
A1;110/05;Domestic banks total (111 + 113 + 151 + 114) — total cols 01-04;calculate;Y;
A1;110/06;Domestic banks total (111 + 113 + 151 + 114) — discount credit;calculate;Y;
A1;110/07;Domestic banks total (111 + 113 + 151 + 114) — bills held;calculate;Y;
A1;110/08;Domestic banks total (111 + 113 + 151 + 114) — fiduciary loans;calculate;Y;
A1;110/09;Domestic banks total (111 + 113 + 151 + 114) — central bank balances;calculate;Y;
A1;110/10;Domestic banks total (111 + 113 + 151 + 114) — syndicated (memo, in cols 05+07);calculate;Y;
A1;120/01;Foreign banks total (121 + 123) — overnight;calculate;Y;
A1;120/02;Foreign banks total (121 + 123) — ≤1yr;calculate;Y;
A1;120/03;Foreign banks total (121 + 123) — >1yr ≤5yr;calculate;Y;
A1;120/04;Foreign banks total (121 + 123) — >5yr;calculate;Y;
A1;120/05;Foreign banks total (121 + 123) — total cols 01-04;calculate;Y;
